#{"t_start": 1741909845.5149643, "env_id": "None"}
r,l,t
-114.611755,525,7604.125487
-106.076476,487,7615.921122
-144.457548,642,7631.412963
-93.155438,426,7640.176281
-108.642487,516,7650.313909
-169.379872,789,7666.459891
-157.221667,738,7681.564263
-146.216524,590,7693.641546
-124.99691,562,7705.157792
-142.620821,657,7717.242192
-112.354447,498,7726.168972
-151.332626,592,7735.761478
-73.880357,303,7740.876154
-187.441025,827,7754.308542
-204.911758,945,7769.314918
-89.349911,422,7778.394747
-119.711547,532,7787.635095
-99.606292,444,7795.184318
-211.524318,967,7812.344948
-180.331175,835,7827.329904
-66.231815,312,7833.511845
-199.091044,906,7849.712501
-148.196889,711,7862.011883
-75.668972,344,7868.128328
-123.806743,575,7878.127397
-203.916194,900,7894.161078
-66.109637,292,7899.160002
-129.721484,593,7909.624409
-76.45413,341,7915.627171
-105.538369,483,7923.661927
-206.39998,946,7939.509711
-265.781955,819,7954.139923
-158.139939,688,7965.440641
-196.258798,890,7979.43258
-187.113369,882,7993.790637
-71.151332,334,7999.056217
-233.904718,880,8013.05411
-179.888502,812,8026.081367
-147.07301,676,8037.122379
-203.025247,935,8052.831193
-197.597047,925,8068.571251
-142.304175,615,8078.953261
-113.465144,541,8088.520656
-152.78019,732,8101.257708
-118.789656,561,8110.895828
-63.708747,284,8115.934715
-54.372578,245,8122.780078
-123.873938,591,8132.935246
-64.579186,283,8138.024213
-100.750952,473,8146.444329
-186.333789,836,8161.726151
-113.295427,510,8170.835082
-154.765713,722,8183.796386
-158.279376,721,8196.273047
-214.408281,973,8213.444986
-146.120095,688,8225.453112
-91.251904,423,8232.866631
-201.137361,907,8248.992704
-139.245297,629,8259.930134
-140.743304,676,8271.719242
-116.367516,548,8281.496603
-157.986807,726,8294.229004
-66.289847,294,8301.269449
-182.794484,873,8316.749
-127.355361,592,8327.144326
-152.791229,615,8337.657597
-169.976911,680,8349.55292
-144.002164,680,8360.83036
-64.535245,308,8366.199672
-160.684102,701,8377.909969
-85.52041,403,8385.263168
-211.965101,932,8401.424279
-97.410836,474,8409.967972
-162.3808,747,8422.857033
-128.807996,622,8433.789624
-69.482881,331,8439.456137
-76.871748,347,8445.771721
-61.898616,288,8450.766051
-63.5627,307,8456.203124
-192.927473,842,8470.751052
-60.636837,258,8476.247984
-144.794312,666,8487.900306
-209.771325,948,8504.974197
-135.354764,609,8515.536903
-181.63638,848,8530.31979
-149.415947,680,8541.906735
-119.779772,557,8551.761918
-161.957061,777,8565.1822
-90.71046,430,8572.360667
-93.13708,439,8580.042865
-167.671513,703,8592.276878
-166.554229,719,8605.08795
-142.735688,680,8617.211806
-143.096581,636,8628.181048
-106.650302,503,8637.094351
-184.904117,805,8654.437464
-62.038986,292,8659.669368
-90.803018,412,8666.964512
-192.32071,890,8682.670385
-220.09262,968,8699.068281
-94.464844,433,8706.556998
-113.152111,517,8715.778942
-61.337746,294,8720.704933
-65.062441,294,8725.322983
-83.308647,384,8732.30442
-69.800707,329,8737.965776
-184.683317,872,8753.095297
-161.941782,743,8766.096431
-198.799028,957,8783.129193
-93.750797,408,8790.210632
-76.926345,358,8796.744265
-66.98818,319,8802.082161
-72.389643,332,8807.932416
-54.652799,265,8812.781699
-70.26868,318,8818.380571
-133.228705,615,8833.215919
-154.591032,671,8844.911727
-187.209782,864,8860.24513
-171.003462,742,8873.353267
-185.974585,844,8888.13871
-124.212072,518,8897.366929
-61.707251,296,8902.311003
-59.071629,269,8907.004643
-120.031866,553,8917.008798
-171.299289,824,8931.076303
-65.98638,312,8936.67103
-107.862416,481,8945.027046
-118.343498,565,8954.617818
-211.904981,949,8971.134093
-129.826521,603,8981.654344
-119.320786,528,8991.114144
-163.852199,741,9003.986027
-52.540405,240,9010.248536
-68.177579,322,9015.949243
-200.928237,920,9031.878048
-160.230081,700,9044.019463
-195.518061,857,9058.735243
-194.18836,889,9073.081365
-161.374102,765,9085.892897
-72.900419,328,9091.425986
-209.57474,961,9108.066656
